127.0.0.1 - - [22/Mar/2024:09:37:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Mar/2024:09:37:39 +0900] "GET /Web03_JavaScript/%EA%B0%95%EC%82%AC%EB%8B%98_HW2.html HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [22/Mar/2024:09:37:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:09:46:56 +0900] "GET /Web03_JavaScript/%EA%B0%95%EC%82%AC%EB%8B%98_HW2.html HTTP/1.1" 200 2038
0:0:0:0:0:0:0:1 - - [22/Mar/2024:09:46:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:09:47:49 +0900] "GET /Web03_JavaScript/%EA%B0%95%EC%82%AC%EB%8B%98_HW2.html HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:00:35 +0900] "GET /Web03_JavaScript/%EA%B0%95%EC%82%AC%EB%8B%98_HW1.html HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:00:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:06:16 +0900] "GET /Web03_JavaScript/homewok/Star.html HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:06:17 +0900] "GET /Web03_JavaScript/images/zilot.png HTTP/1.1" 200 12788
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:06:17 +0900] "GET /Web03_JavaScript/images/marine.png HTTP/1.1" 200 12039
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:06:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:08:13 +0900] "GET /Web03_JavaScript/homewok/Star.html HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:08:13 +0900] "GET /Web03_JavaScript/images/zilot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:08:13 +0900] "GET /Web03_JavaScript/images/marine.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:09:19 +0900] "GET /Web03_JavaScript/homewok/Star.html HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:27:50 +0900] "GET /Web03_JavaScript/homewok/Star.html HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:27:50 +0900] "GET /Web03_JavaScript/images/marine.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:27:50 +0900] "GET /Web03_JavaScript/images/zilot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:28:30 +0900] "GET /Web03_JavaScript/homewok/Star.html HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:28:30 +0900] "GET /Web03_JavaScript/homewok/Star.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:28:31 +0900] "GET /Web03_JavaScript/homewok/Star.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:28:31 +0900] "GET /Web03_JavaScript/homewok/Star.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:34:24 +0900] "GET /Web03_JavaScript/homewok/Star.html HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:34:24 +0900] "GET /Web03_JavaScript/images/marine.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:34:24 +0900] "GET /Web03_JavaScript/images/zilot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:35:31 +0900] "GET /Web03_JavaScript/homewok/Star.html HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:36:05 +0900] "GET /Web03_JavaScript/homewok/Star.html HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:36:05 +0900] "GET /Web03_JavaScript/homewok/Star.html HTTP/1.1" 304 -
